branch_id	branch_type	n_shared_genes	n_fix_non_na	n_free_non_na	support_percent	discordance_percent
B482	internal	5	5	5	100.0000000000	0.0000000000
B483	internal	5	5	5	100.0000000000	0.0000000000
B484	internal	5	5	4	80.0000000000	20.0000000000
B485	internal	5	5	2	40.0000000000	60.0000000000
B486	internal	5	3	2	66.6666666667	33.3333333333
B487	internal	5	3	3	100.0000000000	0.0000000000
B488	internal	5	5	3	60.0000000000	40.0000000000
B489	internal	5	5	5	100.0000000000	0.0000000000
B490	internal	5	5	5	100.0000000000	0.0000000000
B491	internal	5	5	5	100.0000000000	0.0000000000
B492	internal	5	5	5	100.0000000000	0.0000000000
B493	internal	5	5	5	100.0000000000	0.0000000000
B494	internal	5	4	4	100.0000000000	0.0000000000
B495	internal	5	5	2	40.0000000000	60.0000000000
B496	internal	5	5	2	40.0000000000	60.0000000000
B497	internal	5	5	3	60.0000000000	40.0000000000
B498	internal	5	5	5	100.0000000000	0.0000000000
B499	internal	5	5	5	100.0000000000	0.0000000000
B500	internal	5	5	4	80.0000000000	20.0000000000
B501	internal	5	5	4	80.0000000000	20.0000000000
B502	internal	5	5	3	60.0000000000	40.0000000000
B503	internal	5	5	4	80.0000000000	20.0000000000
B504	internal	5	5	4	80.0000000000	20.0000000000
B505	internal	5	4	3	75.0000000000	25.0000000000
B506	internal	5	4	1	25.0000000000	75.0000000000
B507	internal	5	5	5	100.0000000000	0.0000000000
B508	internal	5	5	5	100.0000000000	0.0000000000
B509	internal	5	5	5	100.0000000000	0.0000000000
B510	internal	5	4	4	100.0000000000	0.0000000000
B511	internal	5	5	5	100.0000000000	0.0000000000
B512	internal	5	5	5	100.0000000000	0.0000000000
B513	internal	5	5	0	0.0000000000	100.0000000000
B514	internal	5	5	5	100.0000000000	0.0000000000
B515	internal	5	5	5	100.0000000000	0.0000000000
